0 - Sexe,1 - Tranche_age,2 - Statut,3 - Foyer,4 - Enfant,5 - Taille_ville,6 - Region,7 - Style_de_musique,8 - Moment_musique, 9 - Musique/jour, 10 - Musique fréquence, 11 - nb concert, 12 - appareil pour ecouter plus souvent de la musique,13 - musique seul,14 - Visionnage Illegal Musique,15 - musique accompagné,16 - Plateforme
FEMME,De 50 à 64 ans,Couple,2 personnes,Aucun,PlusDe100000Habitants,AuvergneRhoneAlpes,Variété Française,"Au réveil ou avant de vous endormir,En cuisinant ou pendant les tâches ménagères,En voiture",NULL,1 à 5 fois par semaine,NULL,Un smartphone,1 à 5 fois par semaine,NULL,Jamais,Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu
FEMME,De 35 à 49 ans,Couple,3 personnes,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,PaysDeLaLoire,"Variété Française,Electronique,Soul,Reggae,Musiques du monde,Pop / Rock","En cuisinant ou pendant les tâches ménagères,Dans les transports ou sur le chemin des études ou du travail,En faisant du sport ou des activités récréatives,En voiture",Entre 3 et 4 heures / jour,Plusieurs fois par jour,3 ou 4 concerts/festivals,Un écran de télévision,Tous les jours ou presque,NULL,Tous les jours ou presque,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
FEMME,De 25 à 34 ans,Couple,2 personnes,Aucun,PlusDe100000Habitants,IleDeFrance,"Variété Française,Dance,R&B,Reggae,Rap / Hip-Hop","Sous la douche ou en vous préparant,En voiture",Moins de 1 heure / jour,Tous les jours ou presque,NULL,Un poste de radio / un radioréveil,1 à 5 fois par semaine,Uniquement de façon légale,1 à 5 fois par semaine,"Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des réseaux sociaux (Instagram / Facebook / Snapchat…)"
FEMME,De 25 à 34 ans,Couple,4 personnes ou plus,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,PaysDeLaLoire,"Dance,R&B","En cuisinant ou pendant les tâches ménagères,En faisant du sport ou des activités récréatives,En voiture",Entre 1 et 2 heures / jour,Tous les jours ou presque,NULL,NULL,Tous les jours ou presque,NULL,Tous les jours ou presque,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
FEMME,De 65 à plus,Couple,2 personnes,Aucun,PlusDe100000Habitants,IleDeFrance,,,NULL,Jamais,NULL,NULL,NULL,NULL,NULL,
FEMME,De 25 à 34 ans,Couple,3 personnes,Présence d'enfant(s) au foyer,PlusDe100000Habitants,ProvenceAlpesCoteDAzur,"Jazz,Dance","En travaillant ou en étudiant,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 1 et 2 heures / jour,Tous les jours ou presque,1 ou 2 concerts/festivals,Un ordinateur,Tous les jours ou presque,Uniquement de façon légale,1 à 5 fois par semaine,Des réseaux sociaux (Instagram / Facebook / Snapchat…)
FEMME,De 50 à 64 ans,Célibataire,3 personnes,Présence d'enfant(s) au foyer,PlusDe100000Habitants,IleDeFrance,"Variété Française,Pop / Rock","En cuisinant ou pendant les tâches ménagères,Dans les transports ou sur le chemin des études ou du travail,En faisant du sport ou des activités récréatives",NULL,1 à 5 fois par semaine,NULL,NULL,Tous les jours ou presque,NULL,1 à 3 fois par mois,
FEMME,De 35 à 49 ans,Couple,4 personnes ou plus,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,LanguedocRoussillonMidiP,,,NULL,Jamais,NULL,NULL,NULL,NULL,NULL,
FEMME,De 50 à 64 ans,Couple,2 personnes,Aucun,PlusDe100000Habitants,BourgogneFrancheComte,,,NULL,Jamais,NULL,NULL,NULL,NULL,NULL,
HOMME,De 65 à plus,Couple,2 personnes,Aucun,PlusDe100000Habitants,Normandie,"Variété Française,Jazz,Soul,Pop / Rock","Au réveil ou avant de vous endormir,En voiture",NULL,1 à 5 fois par semaine,1 ou 2 concerts/festivals,Un ordinateur,1 à 3 fois par mois,Généralement de façon légale même s’il peut m’arriver de le faire de manière illégale,1 à 3 fois par mois,"Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des réseaux sociaux (Instagram / Facebook / Snapchat…)"
HOMME,De 50 à 64 ans,Couple,2 personnes,Aucun,PlusDe100000Habitants,IleDeFrance,"Variété Française,Musiques du monde","En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",NULL,1 à 5 fois par semaine,NULL,Un écran de télévision,1 à 5 fois par semaine,NULL,1 à 5 fois par semaine,
HOMME,De 50 à 64 ans,Couple,2 personnes,Aucun,MoinsDe100000Habitants,PaysDeLaLoire,"Variété Française,Dance,Electronique,Reggae,Musiques du monde,Pop / Rock","Au réveil ou avant de vous endormir,En cuisinant ou pendant les tâches ménagères,En voiture",Moins de 1 heure / jour,Tous les jours ou presque,1 ou 2 concerts/festivals,NULL,1 à 3 fois par mois,Uniquement de façon légale,Tous les jours ou presque,Des réseaux sociaux (Instagram / Facebook / Snapchat…)
FEMME,De 65 à plus,Célibataire,1 personne,NULL,PlusDe100000Habitants,PaysDeLaLoire,"Variété Française,Reggae,Pop / Rock",En faisant du sport ou des activités récréatives,NULL,1 à 3 fois par mois,NULL,NULL,1 à 3 fois par mois,NULL,1 à 5 fois par semaine,Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)
HOMME,De 50 à 64 ans,Couple,3 personnes,Aucun,PlusDe100000Habitants,AuvergneRhoneAlpes,"Variété Française,Jazz,Dance,Electronique,Metal,R&B,Soul,Reggae,Musiques du monde,Pop / Rock,Classique,Rap / Hip-Hop","En cuisinant ou pendant les tâches ménagères,Sous la douche ou en vous préparant,Dans les transports ou sur le chemin des études ou du travail,En faisant du sport ou des activités récréatives,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 2 et 3 heures / jour,Plusieurs fois par jour,1 ou 2 concerts/festivals,Une chaîne Hifi,Plusieurs fois par jour,Uniquement de façon légale,1 à 5 fois par semaine,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
FEMME,De 25 à 34 ans,Couple,2 personnes,Aucun,PlusDe100000Habitants,IleDeFrance,"R&B,Pop / Rock,Rap / Hip-Hop","En travaillant ou en étudiant,En cuisinant ou pendant les tâches ménagères,Sous la douche ou en vous préparant,Dans les transports ou sur le chemin des études ou du travail,En faisant du sport ou des activités récréatives,En voiture",Entre 2 et 3 heures / jour,Tous les jours ou presque,NULL,Un ordinateur,Plusieurs fois par jour,Autant de manière légale qu’illégale,Moins souvent,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)"
FEMME,De 25 à 34 ans,Célibataire,1 personne,NULL,PlusDe100000Habitants,AquitaineLimousinPoitouC,"Electronique,Pop / Rock,Classique,Rap / Hip-Hop","En cuisinant ou pendant les tâches ménagères,En faisant du sport ou des activités récréatives,Lorsque vous vous rassemblez avec des amis ou des proches",Moins de 1 heure / jour,Tous les jours ou presque,1 ou 2 concerts/festivals,Un smartphone,Tous les jours ou presque,Uniquement de façon légale,Moins souvent,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…)"
